NAME,
afghani,
baht,
birr,
bitcoin,
bolivar,
cedi,
cent,
colon,
cordoba,
dalasi,
deutschmark,
dinar,
dobra,
dollar,
dong,
drachma,
dram,
euro,
ether,
florin,
forint,
franc,
gryvna,
guarani,
guilder,
hryvnia,
kina,
kip,
kroner,
kroon,
krugerrand,
kuna,
kwanza,
kyat,
lan,
lats,
lek,
leone,
leu,
lira,
litas,
loti,
manat,
metical,
naira,
paanga,
pataca,
peseta,
peso,
pound,
quetzal,
rand,
real,
ringgit,
ruble,
rupee,
rupiah,
shekel,
taka,
tenge,
tolar,
tugrik,
vatu,
won,
yen,
zaire,
zloty,
