NAME,
Jimmu,
Suizei,
Annei,
Itoku,
Koushou,
Kouan,
Kourei,
Kaika,
Sujin,
Suinin,
Keikou,
Seimu,
Chuuai,
Jinguu,
Oojin,
Nintoku,
Richuu,
Hanzei,
Ingyou,
Ankou,
Yuuryaku,
Seinei,
Kenzou,
Ninken,
Buretsu,
Keitai,
Ankan,
Senka,
Kimmei,
Bidatsu,
Youmei,
Sushun,
Suikou,
Jomei,
Kougyoku,
Koutoku,
Saimei,
Tenji,
Koubun,
Temmu,
Jitou,
Mommu,
Gemmei,
Genshou,
Shoumu,
Kouken,
Junnin,
Shoutoku,
Kounin,
Kammu,
Heizei,
Saga,
Junna,
Ninmyou,
Montoku,
Seiwa,
Youzei,
Koukou,
Uda,
Daigo,
Suzaku,
Murakami,
Reizei,
Enyuu,
Kazan,
Ichijou,
Sanjou,
Goichijou,
Gosuzaku,
Goreizei,
Gosanjou,
Shirakawa,
Horikawa,
Toba,
Sutoku,
