NAME,
Apple,
Apricot,
Avocado,
Banana,
Blackberry,
Bloodorange,
Blueberry,
Cherry,
Coconut,
Cranberry,
Damson,
Date,
Durian,
Eggplant,
Elderberry,
Fig,
Grape,
Grapefruit,
Guava,
Hala,
Hawthorne berry,
Honeydew,
ItaPalm,
Jackfruit,
Kiwi,
Kumquat,
Lemon,
Lime,
Lingonberry,
Mango,
Melon,
Nectarine,
Orange,
Passionfruit,
Papaya,
Peach,
Pear,
Persimmon,
Plum,
Prune,
Raisin,
Raspberry,
Starfruit,
Strawberry,
Tangerine,
Tomato,
Watermelon,
Zucchini,
