NAME,
chankonabe,
chazuke,
chutoro,
dango,
ebi,
fugu,
gari,
gohan,
hijiki,
ishikari,
kamameshi,
korokke,
miso,
mochi,
nimono,
onigiri,
osuimono,
ponzu,
ramen,
soba,
sukiyaki,
surimi,
sushi,
tako,
tofu,
udon,
unadon,
unagi,
wakame,
wasabi,
yakidofu,
